Column,Condition,Distribution,Parameters,MSE
Received Packets,Overall,gibrat,"-484.036773, 2596.514535",2.159342949746203e-11
Received Packets,Normal,t,"0.274179, 3380.540578, 3547.735424",2.876786187527362e-11
Received Packets,Attack,gibrat,"-204.908452, 1416.929267",1.0196095646063056e-11
Received Packets,TCP_SYN,jf_skew_t,"4.781542, 0.448072, 0.023236, 63.481245",2.9708623161337874e-09
Received Packets,BLACKHOLE,gausshyper,"1.309822, 6.136970, 5.070912, -0.128203, 34.667548, 11962.710715",6.936373185388876e-10
Received Packets,DIVERSION,burr,"3.700823, 0.362521, -29.659071, 4440.077712",3.418100843291702e-10
Received Packets,OVERFLOW,exponpow,"0.870608, 10.000000, 956.499746",1.1937081338450905e-07
Received Packets,NORMAL,t,"0.274179, 3380.540578, 3547.735424",2.876786187527362e-11
Received Packets,PORTSCAN,gibrat,"-637.847989, 2528.434526",1.4721830572131264e-10
Received Bytes,Overall,beta,"0.347721, 78.923017, 786.000000, 2130844605.455424",1.7202031853442316e-17
Received Bytes,Normal,genhyperbolic,"0.971413, 0.007356, 0.006266, 14709463.832880, 65708.397643",1.9830480157205055e-17
Received Bytes,Attack,halfgennorm,"0.154634, -6034.459341, 26.835728",2.3258685644063493e-17
Received Bytes,TCP_SYN,halfcauchy,"856.000000, 253427.671323",4.7756917775418335e-15
Received Bytes,BLACKHOLE,chi,"0.427203, 3376.000000, 64416706.829614",9.611978585992607e-17
Received Bytes,DIVERSION,burr,"4.213037, 0.178557, -288929.890182, 107448030.704307",2.794746861526547e-17
Received Bytes,OVERFLOW,betaprime,"0.438226, 0.472889, 776.290399, 537896.597755",7.554398094299634e-15
Received Bytes,NORMAL,genhyperbolic,"0.971413, 0.007356, 0.006266, 14709463.832880, 65708.397643",1.9830480157205055e-17
Received Bytes,PORTSCAN,invgauss,"126.639214, -11856.746295, 67027.133600",1.1475333490969417e-15
