Column,Category,PMF_Overall,PMF_Normal,PMF_Attack,PMF_TCP_SYN,PMF_BLACKHOLE,PMF_DIVERSION,PMF_OVERFLOW,PMF_NORMAL,PMF_PORTSCAN
Switch ID,of:0000000000000001,0.10104250200481155,0.0,0.11237625234117192,0.10835811034027089,0.11401425178147269,0.14176313446126448,0.03913894324853229,0.0,0.10527423939362038
Switch ID,of:0000000000000002,0.05036086607858861,0.0,0.05600975116686981,0.054179055170135444,0.057007125890736345,0.07088156723063224,0.0136986301369863,0.0,0.05263711969681019
Switch ID,of:0000000000000003,0.13124832932371025,0.24966869864829047,0.1179653357909445,0.10835811034027089,0.11401425178147269,0.17025823686553873,0.06653620352250489,0.24966869864829047,0.10527423939362038
Switch ID,of:0000000000000004,0.0905105586741513,0.1240392260800424,0.08674971014061895,0.08126858275520317,0.0855106888361045,0.12056990204808549,0.03228962818003914,0.1240392260800424,0.07895567954521529
Switch ID,of:0000000000000005,0.0549585672280139,0.0,0.061123167940065996,0.07554234115185553,0.07363420427553444,0.0,0.0,0.0,0.07895567954521529
Switch ID,of:0000000000000006,0.046832397754611066,0.0,0.05208550108511461,0.06408985794516023,0.0498812351543943,0.0,0.0,0.0,0.07895567954521529
Switch ID,of:0000000000000007,0.07003475006682705,0.0,0.07789041828938371,0.08126858275520317,0.0855106888361045,0.07088156723063224,0.0136986301369863,0.0,0.07895567954521529
Switch ID,of:0000000000000008,0.059021651964715316,0.0,0.0656420013675417,0.08126858275520317,0.0855106888361045,0.0,0.0,0.0,0.07895567954521529
Switch ID,of:0000000000000009,0.046832397754611066,0.0,0.05208550108511461,0.06408985794516023,0.0498812351543943,0.0,0.0,0.0,0.07895567954521529
Switch ID,of:000000000000000a,0.13622026196204223,0.2501987808110257,0.12343550257157297,0.11298315163528246,0.11401425178147269,0.17025823686553873,0.20645792563600782,0.2501987808110257,0.10516896515422676
Switch ID,of:000000000000000b,0.06618551189521518,0.12509939040551285,0.05957725124119274,0.05450941526263627,0.057007125890736345,0.08512911843276937,0.049902152641878667,0.12509939040551285,0.05263711969681019
Switch ID,of:000000000000000c,0.1467522052927025,0.25099390405512856,0.13505960698040848,0.11408435194361854,0.11401425178147269,0.17025823686553873,0.5782778864970646,0.25099390405512856,0.10527423939362038
Port Number,Port#:1,0.3181769580326116,0.31248343493241454,0.3188155899753248,0.31681532870829204,0.3182897862232779,0.31914514692787177,0.3669275929549902,0.31248343493241454,0.31582271818086116
Port Number,Port#:2,0.31665330125634855,0.31248343493241454,0.3171210274400214,0.31648496861579123,0.3182897862232779,0.31914514692787177,0.31409001956947163,0.31248343493241454,0.31582271818086116
Port Number,Port#:3,0.23950815290029404,0.1879141266896369,0.24529535927698665,0.2565796718423081,0.2494061757719715,0.19857524487978628,0.2025440313111546,0.1879141266896369,0.2630803242446573
Port Number,Port#:4,0.1256615878107458,0.18711900344553406,0.11876802330766716,0.11012003083360863,0.11401425178147269,0.16313446126447018,0.11643835616438356,0.18711900344553406,0.10527423939362038
Packets Rx Dropped,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Packets Tx Dropped,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Packets Rx Errors,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Packets Tx Errors,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Delta Port alive Duration (S),4,0.1570703020582732,0.26689636893718527,0.1447513155156524,0.15769188415372756,0.1307600950118765,0.11024042742653606,0.28864970645792565,0.26689636893718527,0.14969996841772817
Delta Port alive Duration (S),5,0.8429296979417268,0.7331036310628147,0.8552486844843475,0.8423081158462724,0.8692399049881235,0.8897595725734639,0.7113502935420744,0.7331036310628147,0.8503000315822719
Delta Packets Rx Dropped,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
 Delta Packets Tx Dropped,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Delta Packets Rx Errors,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Delta Packets Tx Errors,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Connection Point,1,0.2543972199946538,0.2499337397296581,0.2548978803103725,0.31648496861579123,0.29453681710213775,0.0,0.21526418786692758,0.2499337397296581,0.31582271818086116
Connection Point,2,0.29735364875701686,0.3119533527696793,0.2957160269940839,0.2875234005065521,0.3016627078384798,0.28370436331255566,0.2759295499021526,0.3119533527696793,0.3075060532687651
Connection Point,3,0.24407912322908312,0.18738404452690166,0.25043850521746885,0.2475498293139522,0.2042755344418052,0.3120213713268032,0.20058708414872797,0.18738404452690166,0.2630803242446573
Connection Point,4,0.16436781609195403,0.24966869864829047,0.15479977405832862,0.1199207135777998,0.1995249406175772,0.24113980409617097,0.24951076320939333,0.24966869864829047,0.0872723444573113
Connection Point,5,0.03980219192729217,0.0010601643254704478,0.044147813419746114,0.028521087985904636,0.0,0.16313446126447018,0.05870841487279843,0.0010601643254704478,0.026318559848405094
is_valid,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Table ID,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
